text,label
"Pukul 07.30, masih sangat pagi untuk jalanan di Belgrave Square, London.",eyd
"Tapi sepagi ini, taman kecil yang dipenuhi pepohonan besar dan dikelilingi oleh berbagai kantor kedutaan besar itu ramai.",eyd
"Turis lokal sudah memenuhi taman, membawa kamera keluaran terkini, riang sibuk berfoto, sendirian, bersama teman atau dengan keluarga kecil sambil mendorong stroller bayi.",eyd
"Ini hari libur, kedutaan dan perkantoran di sekitar Belgrave Square terkunci rapat, tapi bukan itu tujuan mereka.",eyd
"Para turis yang bersemangat itu hendak menuju Istana Buckingham, kediaman resmi Ratu Inggris.",eyd
"Radius beberapa kilometer dari istana, taman-taman kota, mulai dari St.",eyd
"James's Park, Kensington Garden, Belgrave Square, hingga Trafalgar Square, telah dipenuhi turis, mereka bergerak menuju titik yang sama sambil membawa bendera dan simbol-simbol kerajaan Inggris.",eyd
"Zaman—nama lengkapnya Zaman Zulkarnaen dan dia bukan turis—baru saja keluar dari stasiun kereta bawah tanah Victoria, delapan ratus meter sebelah tenggara Belgrave Square, bergegas dia berjalan di antara rombongan pelancong.",eyd
"Zaman merapatkan mantel tebalnya, angin kencang yang menerbangkan dedaunan kering membuat anak muda usia 30 tahun yang berasal dari negara tropis itu menggigil, dia tidak pernah terbiasa iklim London, walaupun sudah menetap sejak menyelesaikan kuliah master hukum di Oxford University.",eyd
"""Hallo, my friend.” Rajendra Khan, pemilik kios makanan di dekat stasiun menyapa.",eyd
"Zaman melihat pergelangan tangan, masih ada waktu beberapa menit, memutuskan berhenti sejenak demi mencium aroma lezat daging panggang.",eyd
"Perutnya lapar, dia belum sempat sarapan.",eyd
"""Sejak kapan kamu tertarik menghadiri acara di Istana?"" Rajendra basi-basi bertanya.",eyd
Zaman menggeleng.,eyd
Menunjuk pakaian formal yang dikenakannya.,eyd
"""Kalau begitu, kamu berangkat bekerja?""",eyd
"""Yeah."" Zaman menjawab pendek, sambil memesan roti isi daging.",eyd
"""Astaga, ini hari sabtu, my friend.",eyd
"Apakah pengacara seperti kalian tidak mengenal hari libur?"" Tangan Rajendra lincah menyiapkan pesanan.",eyd
"Zaman mengangkat bahu, ""Anda juga tidak pernah libur.",eyd
"Kios ini selalu buka."" Rajendra Khan tertawa, “Itu berbeda, my friend, ini kios makanan, bukan pekerjaan kantor, tapi aku tidak akan berdebat dengan pengacara—aku pasti kalah....",eyd
"Sebagai informasi, ini hari yang penting, turis akan memadati Istana Buckingham, Peringatan Remembrance Day.",eyd
"Kios makanan ini akan terkena dampak ramainya acara itu, tentu aku tidak akan menutupnya.""",eyd
"Meski usia, perawakan dan penampilan berbeda sangat jauh, mereka berdua kenal baik.",eyd
"Sesama warga pendatang, akrab dengan sendirinya sejak bertemu.",eyd
"Rajendra Khan bersama keluarga besarnya tiba di London empat puluh tahun silam, dari India Utara, mengadu nasib ke Eropa saat negaranya panas-dingin oleh pertikaian politik.",eyd
Sementara Zaman tiba di London sebagai mahasiswa dari Indonesia enam tahun lalu.,eyd
"Sejak diterima magang di salah-satu firma hukum yang memiliki kantor di Belgrave Square, Zaman sering berhenti di kios milik Rajendra.",eyd
"Persis keluar dari anak tangga stasiun Victoria, kios makanan ini terlihat mencolok.",eyd
"Tanda halal di atas gerai kios membuat Zaman tidak perlu bertanya dua kali, langsung menyukainya.",eyd
"Mereka berkenalan, antara pembeli dan penjual.",eyd
"Percakapan singkat hanya 60-90 detik, tapi karena nyaris setiap hari bertemu, mereka mengenal satu sama lain dengan baik lewat rangkaian potongan-potongan percakapan pendek.",eyd
"Zaman menyerahkan selembar 10 poundsterling, ""Sekaligus untuk membayar roti daging dua hari lalu.",eyd
"Tuan Rajendra, aku lupa membayarnya."" Kemudian melambaikan tangan, dia harus kembali bergegas.",eyd
"Rajendra Khan mengangguk, sudah sibuk dengan pembeli berikutnya.",eyd
Mengenggam bungkusan roti.,eyd
Zaman meneruskan langkah menuju kantornya.,eyd
"Satu-dua bus London yang terkenal itu—bus tingkat berwarna merah, melintas di jalanan, dipenuhi penumpang.",eyd
"Ini bukan pagi yang menyenangkan bagi Zaman, saat sebagian besar penduduk London bersiap menyambut acara peringatan pahlawan perang di Istana Buckingham, saat dia memutuskan bersantai sepanjang hari di apartemen—karena dia jelas bukan penduduk lokal, tidak tertarik dengan acara kerajaan, telepon genggamnya mendadak berbunyi.",eyd
Dia menyesal lupa menon-aktifkan telepon.,eyd
"Tapi itu telepon yang sangat penting, dari Sir Thompson, partner senior firma hukum tempatnya bekerja.",eyd
"Sejak magang setahun lalu, kemudian diangkat menjadi junior associate enam bulan terakhir.",eyd
"Zaman tidak pernah bicara langsung, apalagi ditelepon seorang partner.",eyd
"Dia hanya berurusan dengan senior lawyer, atau kalaupun ada pekerjaan dengan Sir Thompson, maka kontak dan sebagainya melalui sekretaris.",eyd
"Pagi ini, dia justeru ditelepon langsung penguasa tunggal firma.",eyd
Sedikit canggung mengangkat telepon.,eyd
"Sir Thompson, tidak banyak bicara, hanya menyuruhnya segera datang ke kantor, tiga puluh menit.",eyd
Tanpa banyak protes.,eyd
"Zaman mengangguk, bergegas berganti baju, berlarian ke stasiun kereta bawah tanah terdekat dari apartemen, kapsul kereta melewati dua stasiun, tiba di stasiun Victoria, menaiki anak tangga ke permukaan kota London, lantas berjalan kaki menuju Balgrave Square, melintasi lautan turis yang semakin ramai.",eyd
Ini persis sama seperti dua tahun lalu saat dia hendak wawancara magang.,eyd
"Petugas administrasi firma meneleponnya pagi-pagi sekali, bilang dia ditunggu di kantor tiga puluh menit.",eyd
"Zaman berseru tidak percaya, waktu itu dia masih tinggal di kawasan Kampus, jarak Balgrave Square dari Oxford seratus kilometer lebih, bagaimana mungkin dia bisa tiba di sana dalam waktu 30 menit?",eyd
Belum lagi pukul sembilan Zaman sudah terlanjur ada janji konsultasi dengan salah-satu profesor pembimbing yang terkenal sulit di kampus.,eyd
"""Thompson & Co?"" Profesor pembimbingnya berseru, memastikan tidak salah dengar.",eyd
"Zaman mengkerut, dia cemas itu pertanda dia tidak bisa membatalkan janji.",eyd
"""Jika Profesor keberatan, aku akan bilang tidak untuk interview itu.",eyd
"Ini bukan firma hukum yang menjadi targetku setelah lulus, aku bahkan tidak mengenalnya."" Zaman buru-buru menjelaskan posisinya.",eyd
Apa kamu bilang.,eyd
Ini kabar brilian.,eyd
Bergegas berangkat anak muda.,eyd
